s	rpm	V	V	l/min	bar
Time  Spider8_1 CH=1	n CH=2	U_ster CH=3	Znacznik CH=4	Q CH=5	p CH=8
0,0431	2514	5,94533698	10,01	12,36932356	7,295761743
0,0433	2514	5,945226213	10,01	12,37329495	7,305338406
0,0436	2514	5,945090659	10,01	12,37561735	7,313088906
0,0438	2514	5,945070722	10,01	12,37288252	7,316574737
0,044	2514	5,945184501	10,01	12,36695233	7,312591088
0,0442	2514	5,945265491	10,01	12,36245922	7,309286509
0,0444	2514	5,945191586	10,01	12,36407443	7,30716683
0,0446	2514	5,944958516	10,01	12,36611316	7,31089729
0,0448	2514	5,944709855	10,01	12,36511992	7,316076891
0,045	2514	5,944583337	10,01	12,36183792	7,319802259
0,0452	2514,694887	5,94455373	10,01	12,35969124	7,318276724
0,0454	2516,399042	5,944555833	10,01	12,36324674	7,314707904
0,0456	2519,250894	5,944450456	10,01	12,36717063	7,31177841
0,0458	2522,851852	5,944292048	10,01	12,36770454	7,309638857
0,0461	2526,45281	5,944226316	10,01	12,36543787	7,3090575
0,0463	2529,304662	5,944291252	10,01	12,36340191	7,308831903
0,0465	2531,008816	5,944428643	10,01	12,36630474	7,306303643
0,0467	2531,703704	5,94446454	10,01	12,36890957	7,302593345
0,0469	2532	5,944358452	10,01	12,36701475	7,29787037
0,0471	2532	5,944207147	10,01	12,36139097	7,29496986
0,0473	2532	5,944131641	10,01	12,35622341	7,295535019
0,0475	2532	5,944165198	10,01	12,35708091	7,298923109
0,0477	2532	5,944223372	10,01	12,36008514	7,306737218
0,0479	2532	5,944212262	10,01	12,36054149	7,314843451
0,0481	2532	5,944158436	10,01	12,35907258	7,321262452
0,0483	2532	5,94417359	10,01	12,35758264	7,32410271
0,0486	2532	5,944324004	10,01	12,36065038	7,322768955
0,0488	2532	5,944545462	10,01	12,36479437	7,320070175
0,049	2530,976972	5,944723505	10,01	12,36540737	7,317956744
0,0492	2528,468077	5,944761437	10,01	12,36326496	7,316374947
0,0494	2524,269517	5,944760168	10,01	12,36125022	7,317029314
0,0496	2518,968107	5,944825339	10,01	12,36341297	7,318247712
0,0498	2513,666697	5,945013449	10,01	12,36671298	7,320332159
0,05	2509,468137	5,945224878	10,01	12,36612729	7,32375149
0,0502	2506,959242	5,945323863	10,01	12,36314922	7,329330563
0,0504	2505,936214	5,94532122	10,01	12,36040452	7,336752288
0,0506	2505,5	5,94532246	10,01	12,36239764	7,341655992
0,0508	2505,5	5,94542637	10,01	12,3660031	7,341468174
0,0511	2505,5	5,945616488	10,01	12,36566897	7,335628246
0,0513	2505,5	5,945722501	10,01	12,36241557	7,328691238
0,0515	2505,5	5,945695801	10,01	12,35886364	7,323718515
0,0517	2505,5	5,945576708	10,01	12,36030978	7,321129161
0,0519	2505,5	5,945549913	10,01	12,36383833	7,320628218
0,0521	2505,5	5,945688715	10,01	12,36263607	7,323670207
0,0523	2505,5	5,945905495	10,01	12,3578665	7,32559018
0,0525	2505,5	5,94602492	10,01	12,35242513	7,327820097
0,0527	2505,5	5,945965876	10,01	12,35231268	7,329394778
0,0529	2505,5	5,945753443	10,01	12,35581111	7,330558042
0,0531	2505,5	5,945599761	10,01	12,35589752	7,330634206
0,0533	2505,5	5,94548746	10,01	12,35292636	7,331038825
0,0536	2504,573484	5,94537174	10,01	12,3489001	7,334138754
0,0538	2502,301277	5,945200688	10,01	12,34899271	7,341062949
0,054	2498,498808	5,945013951	10,01	12,35312741	7,347884312
0,0542	2493,697531	5,944941656	10,01	12,35423123	7,353695257
0,0544	2488,896254	5,945077617	10,01	12,35269952	7,353785621
0,0546	2485,093785	5,945328616	10,01	12,35023424	7,349857365
0,0548	2482,821578	5,945510003	10,01	12,35137427	7,346636902
0,055	2481,895062	5,945481295	10,01	12,35581272	7,345269072
0,0552	2481,5	5,945333665	10,01	12,35620837	7,349079658
